Q\E	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	401	402	403	404	501	502	503	504	505	506	507	508	509	510	601	602	603	604	605	606	607	608	701	998	1100	;
Q30	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q29	Q29	Q29	Q29	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2801	Q2800
Q31	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2001	Q2000
Q2000	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
Q2100	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
Q2200	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
Q2300	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
Q2400	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
Q2500	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
Q2600	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
Q2700	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
